State,SpeciesBand,Species,Band,Latitude,Longitude,Elevation,Tmax_wt,Tmax_sp,Tmax_sm,Tmax_at,Tmin_wt,Tmin_sp,Tmin_sm,Tmin_at,Tave_wt,Tave_sp,Tave_sm,Tave_at,PPT_wt,PPT_sp,PPT_sm,PPT_at,DD_0_wt,DD_0_sp,DD_0_sm,DD_0_at,DD5_wt,DD5_sp,DD5_sm,DD5_at,DD_18_wt,DD_18_sp,DD_18_sm,DD_18_at,DD18_wt,DD18_sp,DD18_sm,DD18_at,NFFD_wt,NFFD_sp,NFFD_sm,NFFD_at,PAS_wt,PAS_sp,PAS_sm,PAS_at,Eref_wt,Eref_sp,Eref_sm,Eref_at,CMD_wt,CMD_sp,CMD_sm,CMD_at
MT,ABLA-L,ABLA,L,48.617012,113.847546,1607,-2.2,8.3,21.5,9.4,-11,-3.3,6,-1.8,-6.6,2.5,13.8,3.8,417,308,220,270,650,142,0,124,3,123,805,192,2212,1428,403,1294,0,1,16,2,2,24,88,34,363,143,0,91,0,143,360,98,0,0,140,0
MT,ABLA-M,ABLA,M,48.647086,113.84143,1906.416667,-3.4,5.5,18.2,7.2,-11.7,-4.8,4.7,-2.7,-7.5,0.4,11.4,2.3,394,292,216,266,725,222,1,171,2,63,596,130,2296,1626,605,1433,0,0,4,1,1,16,83,29,359,190,0,115,0,120,312,86,0,0,98,0
MT,PSME-H,PSME,H,48.663195,113.847372,1610.423077,-2.7,7.1,19.7,8.5,-11.5,-4,5.5,-2.1,-7.1,1.6,12.6,3.2,365,272,210,257,688,175,0,142,3,93,702,166,2254,1515,504,1347,0,0,8,1,2,20,86,33,326,145,0,92,0,133,332,92,0,0,122,0
MT,PSME-L,PSME,L,48.614147,113.854762,1323,-1.6,9.8,23.1,10.5,-10.7,-2.6,6.7,-1.3,-6.1,3.6,14.9,4.6,361,269,206,244,611,111,0,103,4,166,912,229,2168,1326,311,1222,0,1,29,2,2,29,89,37,304,97,0,68,0,155,384,104,0,0,178,8
MT,PSME-M,PSME,M,48.614935,113.849045,1445.576923,-1.8,9.4,22.6,10.2,-10.8,-2.9,6.5,-1.5,-6.3,3.3,14.5,4.3,401,298,217,264,626,121,0,109,3,152,882,218,2185,1359,338,1243,0,1,24,2,2,27,89,36,342,118,0,78,0,151,377,102,0,0,160,4
MT,TSHE-H,TSHE,H,48.614869,113.856043,1298.884615,-1.5,9.9,23.1,10.5,-10.7,-2.6,6.7,-1.3,-6.1,3.7,14.9,4.6,353,263,203,240,609,110,0,102,4,168,916,231,2167,1322,308,1219,0,1,30,3,2,29,89,37,297,94,0,66,0,156,385,104,0,0,181,8
MT,TSHE-L,TSHE,L,48.630421,113.869619,1025.115385,-1.2,10.5,23.6,11,-10.6,-2.2,7.1,-1.1,-5.9,4.1,15.3,5,285,211,182,202,594,99,0,94,4,189,954,249,2149,1278,277,1185,0,1,37,3,2,31,90,39,236,65,0,49,0,161,391,106,0,17,210,16
MT,TSHE-M,TSHE,M,48.614038,113.865906,1164.115385,-1.4,10.1,23.3,10.6,-10.5,-2.4,6.9,-1.2,-5.9,3.9,15.1,4.7,286,215,185,207,596,104,0,99,4,178,933,237,2151,1300,294,1207,0,1,33,3,2,30,89,38,237,70,0,53,0,158,387,105,0,14,202,13
WA,ABLA-H,ABLA,H,48.00014,123.561081,1506.4,2,8.2,17.6,10.3,-3.8,-0.3,6.6,2.1,-0.9,3.9,12.1,6.2,846,374,94,528,228,68,0,57,21,135,658,297,1697,1294,546,1076,0,1,7,4,18,41,88,58,292,119,0,94,0,157,290,106,0,12,196,2
WA,ABLA-L,ABLA,L,48.001582,123.570694,1249.9,2.8,9.2,18.4,11.1,-3,0.4,7.2,2.8,-0.1,4.8,12.8,6.9,797,355,87,496,187,52,0,44,27,169,723,331,1623,1215,483,1012,0,1,10,6,22,48,89,62,213,76,0,67,16,165,299,110,0,19,212,8
WA,ABLA-M,ABLA,M,48.000692,123.56593,1392.65,2.3,8.7,18,10.6,-3.4,0,6.8,2.4,-0.5,4.3,12.4,6.5,822,365,91,512,210,60,0,51,23,149,686,311,1665,1259,519,1048,0,1,8,5,19,44,89,60,256,98,0,81,0,161,294,108,0,16,204,5
WA,PSME-H,PSME,H,47.999876,123.569498,1298.090909,2.6,9,18.3,11,-3.1,0.3,7.1,2.7,-0.2,4.7,12.7,6.8,808,359,89,502,194,55,0,46,26,163,712,325,1637,1229,494,1023,0,1,10,5,21,46,89,62,227,83,0,71,16,164,298,109,0,18,209,7
WA,PSME-L,PSME,L,48.007723,123.585741,394.1818182,5.9,12.4,21,14,0.3,3.3,10,5.4,3.1,7.8,15.5,9.7,716,320,78,446,82,20,0,15,78,334,967,491,1339,938,267,766,0,3,39,14,46,70,91,77,58,13,0,18,42,189,323,122,0,35,245,18
WA,PSME-M,PSME,M,47.997109,123.581635,857.1818182,4.1,10.6,19.6,12.4,-1.6,1.6,8.4,3.9,1.2,6.1,14,8.1,742,333,80,460,134,34,0,28,43,234,827,393,1504,1093,385,906,0,2,18,8,31,58,91,69,124,36,0,38,39,176,311,115,0,28,231,15
WA,TSHE-H,TSHE,H,48.006452,123.562752,550.1666667,5.8,11.9,20.7,13.9,0.3,3.3,10.1,5.5,3,7.6,15.4,9.7,822,364,91,513,83,21,0,16,76,321,961,489,1345,958,271,770,0,3,38,14,46,69,91,77,69,17,0,21,41,183,316,120,0,25,226,9
WA,TSHE-M,TSHE,M,48.013935,123.588066,221.3636364,6.5,12.9,21.4,14.5,0.9,3.8,10.5,5.9,3.7,8.4,16,10.2,695,309,77,436,69,17,0,12,94,369,1010,525,1285,891,234,721,0,4,50,16,51,73,92,79,44,9,0,14,43,193,326,123,0,38,249,19
