Transect,Species,Elev,Tree,Core,TreeID,Tag,Path identification,Site identification,YearLastRing,Sapwood,Tree height,Tree age,SectionHeight,User variable,RingCount,DataType,OffsetToNext,ImageName,Analysis Date Time,Acquisition Date Time,Modified Date Time,ImageSizeH V NBits Channel,CalibMethod XCal YCal EditedDendro,ScannerCamera Make Model Software,LensFocLength [35mm],PathBegX BegY EndX EndY Width,RingBoundary AutoMan Meth Precise,EarlywoodDef,DensActive Media Calib,DensNSteps MatDens Interpol SampleThick,DensStepsThick,DensStepsLightInt,DensStepsWoodDens,DiskArea,DiskPerim,DiskAvgDiam,DiskFormCoef,CompWoodArea,VoidArea,PathLength,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,ABLA,L,3C,A,3C-A,WA-ABLA-L-3C-A,,,2013,0,0,0,0,0,105,RINGWIDTH,1,NotAFile,5/6/14 15:10,                   ,,1260 17958 8 RGB,Intr 0.015826 0.015871 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],730.6667 8785.3333 768.6667 548.3333  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,130.7313,0.322,0.145,0.077,0.069,0.074,0.097,0.143,0.2,0.26,0.19,0.194,0.171,0.263,0.133,0.215,0.279,0.216,0.286,0.267,0.33,0.157,0.349,0.315,0.214,0.29,0.284,0.293,0.29,0.147,0.28,0.283,0.299,0.219,0.309,0.344,0.368,0.464,0.566,0.613,0.675,0.675,0.566,0.488,0.409,0.52,0.645,0.505,0.649,0.586,0.539,0.697,0.73,0.762,1.143,1.301,1.111,1.691,1.574,1.101,1.368,1.431,1.385,1.112,1.6,1.329,1.292,0.853,1.744,1.478,1.493,2.109,1.468,2.177,1.491,2.037,2.249,1.866,2.023,1.927,2.089,2.15,2.334,2.241,2.628,2.744,2.954,2.284,2,2.126,1.19,1.398,1.617,1.581,1.815,1.351,1.491,2.161,2.047,2.2,3.484,2.053,1.957,1.496,1.291,1.053,,,,,,
WA,ABLA,L,3C,B,3C-B,WA-ABLA-L-3C-B,,,2013,0,0,0,0,0,104,RINGWIDTH,1,NotAFile,5/6/14 15:10,                   ,,1260 17958 8 RGB,Intr 0.015826 0.015871 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],731.0000 8793.0000 611.3333 17380.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,136.2979,0.186,0.208,0.187,0.224,0.187,0.25,0.161,0.198,0.103,0.19,0.19,0.272,0.141,0.302,0.302,0.286,0.269,0.27,0.333,0.365,0.619,0.777,0.666,0.746,0.873,0.746,0.65,0.396,0.507,0.682,0.54,0.396,0.459,0.617,0.759,0.626,0.878,0.919,1.174,0.603,0.507,0.57,0.57,1.062,1.189,0.808,0.888,0.949,0.649,0.632,0.65,0.602,1.332,1.536,1.316,2.023,1.618,0.979,1.274,1.441,1.579,1.328,1.536,1.312,1.312,1.199,1.57,1.349,1.555,1.92,1.317,2.444,1.769,2.061,1.871,1.919,1.396,1.522,1.509,1.97,2.118,2.166,2.56,2.446,2.969,2.147,2.138,2.545,2.118,2.216,2.17,1.962,2.074,1.766,2.087,2.354,2.462,3.291,4.91,2.941,2.646,1.659,1.782,0.612,,,,,,,
WA,ABLA,L,3N,A,3N-A,WA-ABLA-L-3N-A,,,2013,0,0,0,0,0,102,RINGWIDTH,1,NotAFile,5/6/14 15:24,                   ,,2730 12129 8 RGB,Intr 0.015826 0.015871 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],428.3333 8062.0000 266.0000 880.6667  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,114.0043,0.269,0.317,0.333,0.238,0.286,0.349,0.209,0.251,0.19,0.269,0.301,0.364,0.219,0.221,0.294,0.655,0.603,0.678,0.41,0.759,0.648,0.386,0.422,0.571,0.492,0.475,0.745,0.553,0.76,0.702,0.404,0.349,0.472,0.426,0.41,0.393,0.565,0.454,0.473,0.536,0.597,0.548,0.565,0.484,0.656,0.547,0.671,0.701,0.966,0.903,0.95,1.136,0.163,1.009,0.732,0.592,1.249,1.14,1.454,2.321,2.01,1.412,1.3,1.01,1.473,0.97,1.23,1.112,1.138,1.185,1.44,1.53,1.96,2.067,2.307,2.492,1.899,2.102,2.24,2.22,1.747,1.609,1.514,1.499,1.653,1.759,1.996,2.076,1.901,1.871,1.873,2.984,1.046,0.951,3.628,2.548,2.462,1.793,1.022,2.323,2.532,2.047,,,,,,,,,
WA,ABLA,L,3N,B,3N-B,WA-ABLA-L-3N-B,,,2013,0,0,0,0,0,97,RINGWIDTH,1,NotAFile,5/6/14 15:24,                   ,,2730 12129 8 RGB,Intr 0.015826 0.015871 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],2366.3333 8810.3333 2256.6667 960.6667  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,124.5946,0.206,0.349,0.301,0.19,0.174,0.206,0.174,0.136,0.112,0.137,0.111,0.074,0.144,0.602,0.491,0.57,0.507,0.695,0.644,0.488,0.472,0.765,0.808,0.632,0.996,0.586,0.744,0.696,0.459,0.491,0.539,0.46,0.38,0.317,0.476,0.38,0.428,0.38,0.444,0.492,0.602,0.555,0.681,0.719,0.933,0.898,0.925,1.311,0.936,0.698,0.857,0.919,0.697,1.282,1.318,1.288,2.151,1.712,1.76,1.857,1.431,1.773,1.3,1.506,1.459,1.444,1.507,1.681,1.944,2.431,2.122,1.929,2.673,2.467,2.847,2.783,2.963,2.871,2.283,2.514,2.477,2.309,2.654,2.455,2.735,2.537,2.617,2.863,2.915,1.667,1.615,2.775,1.517,3.235,1.478,1.171,1.878,,,,,,,,,,,,,,
WA,ABLA,L,3C,A,3C-A,WA-ABLA-L-3C-A,,,2013,0,0,0,0,0,111,RINGWIDTH,1,NotAFile,5/6/14 15:39,                   ,,3098 12261 8 RGB,Intr 0.015826 0.015871 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],601.6667 10646.6667 511.3333 682.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,158.1562,0.075,0.174,0.205,0.142,0.095,0.079,0.189,0.22,0.126,0.188,0.173,0.204,0.345,0.391,0.327,0.327,0.203,0.156,0.297,0.235,0.375,0.593,0.451,0.605,0.76,0.357,0.401,0.556,0.463,0.338,0.49,0.547,0.543,0.498,0.786,0.683,0.724,0.45,0.46,0.457,0.397,0.631,0.371,0.434,0.495,0.392,0.282,0.355,0.267,0.371,0.916,0.724,0.758,1.04,0.877,0.567,0.901,0.739,1.335,1.712,1.843,1.545,1.726,2.085,1.845,1.677,2.022,1.791,1.255,1.509,1.321,1.358,1.35,1.648,1.428,1.821,1.434,1.415,1.351,1.368,1.744,1.929,1.839,1.906,1.68,1.962,1.784,1.505,1.814,1.816,1.569,1.642,1.808,2.118,2.832,2.513,2.16,2.091,2.201,2.546,2.466,2.928,3.628,3.922,3.286,2.501,3.243,3.896,4.754,4.362,3.856
WA,ABLA,L,3C,B,3C-B,WA-ABLA-L-3C-B,,,2013,0,0,0,0,0,102,RINGWIDTH,1,NotAFile,5/6/14 15:39,                   ,,3098 12261 8 RGB,Intr 0.015826 0.015871 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],2659.0000 10573.0000 2400.3333 1784.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,139.5508,0.146,0.317,0.444,0.175,0.134,0.087,0.128,0.075,0.08,0.074,0.119,0.155,0.179,0.153,0.116,0.159,0.222,0.222,0.397,0.286,0.19,0.238,0.222,0.127,0.158,0.19,0.253,0.27,0.19,0.141,0.104,0.098,0.086,0.238,0.222,0.175,0.254,0.19,0.142,0.222,0.19,0.363,0.411,0.648,0.427,0.537,0.68,0.599,0.729,1.316,1.998,1.581,1.475,1.286,1.286,1.428,1.952,2.174,2.458,2.328,2.631,2.426,2.085,2.12,2.206,1.825,1.743,1.458,1.852,1.743,1.614,2.026,1.924,1.775,1.804,2.161,2.663,2.813,2.287,2.245,2.412,2.39,2.04,2.291,2.367,3.026,3.104,2.579,2.342,2.942,3.173,3.953,2.14,3.112,3.464,3.008,3.24,2.961,2.126,2.686,5.407,0.227,,,,,,,,,
WA,ABLA,L,4N,A,4N-A,WA-ABLA-L-4N-A,,,2013,0,0,0,0,0,67,RINGWIDTH,1,NotAFile,5/6/14 15:51,                   ,,2888 12471 8 RGB,Intr 0.015826 0.015871 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],482.0000 12185.3333 474.0000 678.6667  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,182.623,1.793,2.831,3.353,2.579,2.221,3.111,3.079,3.103,2.856,2.966,1.484,2.856,4.285,4.38,3.09,3.981,3.127,2.063,2.443,2.694,3.142,2.913,1.681,2.19,2.06,1.316,1.094,2.523,3.399,3.79,3.646,3.434,3.771,3.811,3.199,2.058,2.135,1.603,1.933,2.626,2.516,2.506,1.834,1.911,2.46,2.221,2.609,2.406,2.471,2.073,1.963,1.785,1.802,1.761,1.589,2.34,2.223,2.603,2.981,2.343,1.989,1.946,2.321,3.289,2.994,3.191,1.438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,ABLA,L,4N,B,4N-B,WA-ABLA-L-4N-B,,,2013,0,0,0,0,0,64,RINGWIDTH,1,NotAFile,5/6/14 15:51,                   ,,2888 12471 8 RGB,Intr 0.015826 0.015871 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],2442.0000 12074.6667 2495.3333 7307.6667  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,75.662,0.856,1.266,0.997,0.873,0.936,1.238,1.063,1.571,1.317,1.777,1.571,1.65,1.666,1.952,1.867,2.038,1.782,1.406,1.391,1.801,1.663,1.586,1.365,1.889,1.14,1.345,1.74,2.404,2.188,1.155,0.507,0.696,0.709,0.787,0.874,1.425,2.612,2.161,1.213,1.166,0.968,0.754,0.77,0.891,0.988,0.738,0.612,0.461,0.476,0.638,0.765,0.359,0.642,0.75,0.686,0.762,0.452,0.328,0.593,0.499,0.599,1.076,0.7,1.478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,ABLA,L,5C,A,5C-A,WA-ABLA-L-5C-A,,,2013,0,0,0,0,0,104,RINGWIDTH,1,NotAFile,5/6/14 17:08,                   ,,1391 16462 8 RGB,Intr 0.015826 0.015871 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],824.0000 7594.0000 852.0000 504.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,112.5267,0.127,0.364,0.262,0.152,0.127,0.365,0.365,0.261,0.166,0.27,0.206,0.397,0.396,0.333,0.349,0.427,0.555,0.571,0.57,0.523,0.682,0.213,0.468,0.775,0.587,0.523,0.73,0.554,0.681,0.619,0.388,0.42,0.449,0.507,0.428,0.514,0.537,0.615,0.506,0.67,0.496,0.516,0.658,0.463,0.767,0.69,0.633,0.951,0.593,0.899,0.905,0.631,0.72,0.804,0.663,1.265,1.402,0.861,1.099,1.119,1.042,1.184,0.607,0.865,0.539,0.963,1.15,1.558,1.178,1.103,1.256,1.94,1.903,1.368,2.341,1.602,2.012,2.168,1.698,1.661,1.749,2.619,2.305,1.997,2.12,2.447,2.332,2.115,1.913,1.381,2.417,1.437,1.954,2.055,2.6,2.602,2.198,1.96,2.163,1.781,1.882,2.254,1.396,0.888,,,,,,,
WA,ABLA,L,5C,B,5C-B,WA-ABLA-L-5C-B,,,2013,0,0,0,0,0,104,RINGWIDTH,1,NotAFile,5/6/14 17:08,                   ,,1391 16462 8 RGB,Intr 0.015826 0.015871 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],816.0000 7670.5000 708.5000 15742.5000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,127.4401,0.39,0.66,0.612,0.456,0.285,0.601,0.457,0.378,0.489,0.396,0.333,0.418,0.391,0.317,0.444,0.46,0.698,0.651,0.555,0.539,0.808,0.412,0.491,0.824,0.618,0.396,0.841,0.698,0.698,0.746,0.666,0.601,0.794,0.872,0.793,1.015,0.857,1.142,1,1.143,1.032,1.269,1.086,0.705,1.267,0.982,1.062,1.579,0.901,1.44,1.474,1.031,1.221,0.871,0.84,1.676,1.864,1.172,1.886,1.933,1.886,1.994,1.062,1.389,1.126,1.696,2.027,2.328,1.76,1.828,1.663,2.221,2.029,1.478,2.678,1.664,1.889,2.042,1.618,1.414,1.412,2.225,2.08,1.457,1.741,2.125,1.871,1.538,1.459,1.091,2.105,1.455,1.77,1.426,1.903,2.055,1.357,1.343,2.228,1.785,1.421,2.106,1.294,0.698,,,,,,,
WA,ABLA,L,4C,A,4C-A,WA-ABLA-L-4C-A,,,2013,0,0,0,0,0,107,RINGWIDTH,1,NotAFile,5/6/14 17:23,                   ,,2520 11762 8 RGB,Intr 0.015826 0.015871 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],250.0000 8718.0000 582.0000 414.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,131.8979,0.18,0.206,0.141,0.101,0.103,0.189,0.196,0.15,0.173,0.173,0.204,0.36,0.406,0.311,0.343,0.203,0.156,0.281,0.249,0.358,0.602,0.465,0.603,0.758,0.34,0.418,0.558,0.449,0.339,0.49,0.55,0.548,0.515,0.807,0.686,0.721,0.46,0.457,0.442,0.398,0.634,0.36,0.434,0.492,0.385,0.293,0.354,0.267,0.371,0.919,0.721,0.779,1.084,0.879,0.555,0.915,0.735,1.319,1.697,1.84,1.554,1.74,2.063,1.842,1.72,1.998,1.82,1.239,1.506,1.319,1.326,1.368,1.669,1.417,1.838,1.436,1.45,1.333,1.361,1.758,1.916,1.808,1.898,1.773,2.023,1.943,1.548,1.842,1.832,1.569,1.632,1.834,2.095,2.853,2.443,2.167,2.07,2.222,2.575,2.457,2.908,3.683,3.947,3.34,2.565,3.406,0.48,,,,
WA,ABLA,L,4C,B,4C-B,WA-ABLA-L-4C-B,,,2013,0,0,0,0,0,102,RINGWIDTH,1,NotAFile,5/6/14 17:23,                   ,,2520 11762 8 RGB,Intr 0.015826 0.015871 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],2096.0000 10062.0000 2204.0000 1574.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,134.7244,0.174,0.332,0.474,0.19,0.124,0.071,0.08,0.079,0.04,0.079,0.135,0.15,0.145,0.06,0.095,0.095,0.177,0.221,0.221,0.377,0.32,0.19,0.238,0.222,0.127,0.174,0.19,0.238,0.254,0.19,0.127,0.085,0.079,0.095,0.264,0.206,0.175,0.27,0.206,0.143,0.253,0.189,0.364,0.428,0.633,0.428,0.538,0.712,0.57,0.712,1.329,2.026,1.534,1.489,1.269,1.285,1.412,1.967,2.127,2.458,2.292,2.619,2.409,2.068,2.107,2.161,1.858,1.79,1.46,1.825,1.778,1.651,2.031,1.967,1.824,1.855,2.199,2.673,2.752,2.341,2.296,2.51,2.409,2.061,2.279,2.366,3.011,3.09,2.627,2.286,2.94,3.192,3.961,2.277,2.985,3.456,3.079,3.361,3.049,2.314,2.835,1.276,,,,,,,,,
WA,ABLA,L,4C,A,4C-A,WA-ABLA-L-4C-A,,,2013,0,0,0,0,0,106,RINGWIDTH,1,NotAFile,5/7/14 16:47,                   ,,3570 21476 8 RGB,Intr 0.007913 0.007936 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],656.0000 17344.0000 348.0000 984.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,129.8481,0.168,0.183,0.146,0.102,0.09,0.199,0.182,0.145,0.191,0.165,0.212,0.337,0.399,0.312,0.335,0.187,0.148,0.304,0.234,0.366,0.593,0.464,0.601,0.763,0.355,0.41,0.558,0.457,0.331,0.488,0.554,0.551,0.516,0.77,0.699,0.722,0.449,0.46,0.446,0.391,0.643,0.371,0.431,0.514,0.379,0.296,0.34,0.287,0.372,0.892,0.742,0.772,1.072,0.879,0.58,0.897,0.739,1.295,1.722,1.886,1.508,1.734,2.063,1.819,1.706,2.016,1.806,1.234,1.526,1.327,1.323,1.361,1.654,1.449,1.816,1.456,1.451,1.348,1.409,1.739,1.999,1.817,1.967,1.814,1.996,1.863,1.579,1.813,1.844,1.58,1.646,1.839,2.117,2.879,2.51,2.155,2.071,2.245,2.568,2.493,2.926,3.724,3.983,3.344,2.594,2.092,,,,,
WA,ABLA,L,4C,B,4C-B,WA-ABLA-L-4C-B,,,2013,0,0,0,0,0,102,RINGWIDTH,1,NotAFile,5/7/14 16:47,                   ,,3570 21476 8 RGB,Intr 0.007913 0.007936 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],3150.0000 17664.0000 2757.0000 630.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,135.2096,0.122,0.344,0.503,0.162,0.126,0.059,0.079,0.091,0.067,0.051,0.131,0.138,0.154,0.063,0.11,0.111,0.15,0.214,0.206,0.404,0.301,0.206,0.214,0.262,0.119,0.174,0.182,0.238,0.27,0.19,0.109,0.107,0.095,0.094,0.238,0.214,0.175,0.262,0.198,0.143,0.254,0.19,0.356,0.428,0.642,0.411,0.546,0.712,0.562,0.712,1.321,2.02,1.546,1.484,1.27,1.285,1.42,1.968,2.151,2.454,2.322,2.646,2.383,2.095,2.101,2.17,1.853,1.783,1.452,1.817,1.762,1.658,2.023,1.959,1.831,1.83,2.228,2.677,2.771,2.348,2.295,2.519,2.403,2.053,2.273,2.357,3.02,3.074,2.61,2.301,2.954,3.22,4.01,2.3,3.054,3.436,3.071,3.375,3.018,2.315,2.956,1.335,,,,,,,,,
WA,ABLA,L,5N,A,5N-A,WA-ABLA-L-5N-A,,,2013,0,0,0,0,0,97,RINGWIDTH,1,NotAFile,5/8/14 11:14,                   ,,2185 8762 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],310.0000 8400.0000 360.0000 270.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,172.0455,0.424,0.633,0.513,0.369,0.411,0.531,0.282,0.221,0.282,0.243,0.304,0.362,0.282,0.317,0.659,1.074,0.933,0.934,0.793,0.851,1.115,1.148,1.014,1.297,0.924,0.987,1.383,1.3,1.77,1.889,1.599,1.453,2.163,2.159,1.77,1.53,2.023,1.816,0.949,1.485,1.659,1.953,2.23,1.809,2.479,1.938,2.518,2.618,2.508,2.203,1.534,2.003,2.469,2.396,1.586,1.273,2.338,1.59,1.823,1.763,1.387,1.648,1.292,1.56,1.355,1.524,1.463,1.611,1.081,1.378,1.366,1.835,1.663,1.065,2.082,1.607,1.735,1.679,1.653,1.47,1.525,1.799,1.666,1.83,1.798,1.889,1.916,1.92,1.895,1.619,1.882,1.68,1.767,1.914,5.808,1.231,1.256,,,,,,,,,,,,,,
WA,ABLA,L,5N,B,5N-B,WA-ABLA-L-5N-B,,,2013,0,0,0,0,0,100,RINGWIDTH,1,NotAFile,5/8/14 11:14,                   ,,2185 8762 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],1752.0000 8520.0000 1744.0000 1344.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,151.8544,0.518,0.62,0.535,0.434,0.348,0.469,0.295,0.254,0.175,0.194,0.244,0.386,0.28,0.2,0.301,0.464,0.491,0.535,0.514,0.308,0.37,0.387,0.404,0.711,0.763,0.646,0.661,0.605,0.621,0.517,0.301,0.403,0.555,0.513,0.432,0.499,0.48,0.48,0.396,0.313,0.438,0.499,0.684,0.765,1.261,0.992,1.757,1.963,1.957,2.209,2.584,1.459,1.44,1.272,1.332,1.506,0.826,0.788,1.643,1.88,1.432,1.894,1.446,1.79,1.404,1.506,1.59,1.52,1.309,1.483,1.623,2.573,2.441,1.796,3.023,2.212,2.427,2.412,1.93,1.696,1.617,1.97,1.903,2.036,2.188,2.083,1.863,1.703,1.708,1.447,2.181,1.516,1.78,2.047,1.854,1.606,5.01,6.574,0.121,1.291,,,,,,,,,,,
WA,ABLA,L,6C,B,6C-B,WA-ABLA-L-6C-B,,,2013,0,0,0,0,0,59,RINGWIDTH,1,NotAFile,5/8/14 11:33,                   ,,1969 24614 8 RGB,Intr 0.010551 0.010581 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],880.0000 15088.0000 832.0000 24256.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,97.0052,0.638,1.01,0.734,0.875,0.951,1.476,1.046,0.866,1.235,1.259,0.906,1.307,1.566,1.438,1.3,1.595,2.149,2.208,1.719,0.847,0.942,0.689,0.519,1.591,1.872,1.206,1.898,1.83,1.223,1.223,0.771,0.704,0.548,0.308,0.429,0.506,0.694,0.971,1.063,1.612,1.446,1.12,0.974,0.678,1.36,0.818,1.281,1.437,1.208,1.182,1.287,0.69,0.984,1.446,0.624,0.636,0.566,0.845,0.592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
