Year,TmaxAn,TminAn,TaveAn,TaveWin,TaveGS,PPTGS,PPTAn,PPTWin,DD5_An,NFFDGS,NFFDAn,PASAn,ErefGS,CMDGS,CMDAn,TreeID,RWI,Elevation,Competition
1959,25,-12,5.341666667,-0.316666667,11,278,470,192,1321,124,138,103,741,464,485,H.10H,0.799986184,H,C
1958,25.4,-12.6,5,-1.133333333,11.13333333,199,649,450,1355,125,145,249,761,562,562,H.10H,1.134651553,H,C
1957,22.7,-14.2,4.508333333,-0.766666667,9.783333333,409,683,274,1147,112,125,182,684,287,315,H.10H,0.954922613,H,C
1956,24.1,-13.1,5.291666667,-0.466666667,11.05,119,395,276,1335,119,133,134,767,650,718,H.10H,0.864987393,H,C
1955,23.6,-15.5,4.308333333,-1.433333333,10.05,266,514,248,1221,113,131,179,706,440,471,H.10H,0.841296021,H,C
1954,24.2,-13.4,5.608333333,-0.2,11.41666667,309,619,310,1358,129,145,124,740,431,459,H.10H,1.069927101,H,C
1953,23.8,-12.5,4.658333333,-0.833333333,10.15,217,469,252,1239,113,124,184,707,492,568,H.10H,0.934770822,H,C
1952,23.5,-13.7,4.075,-2.716666667,10.86666667,233,625,392,1253,127,138,282,719,485,489,H.10H,1.019033274,H,C
1951,25.7,-11.7,5.216666667,0.05,10.38333333,261,468,207,1281,107,125,136,736,477,546,H.10H,0.795200444,H,C
1950,23.3,-13.4,4.416666667,-0.85,9.683333333,219,497,278,1070,98,109,145,727,508,528,H.10H,0.879272898,H,C
1949,23.9,-16.2,3.741666667,-2.933333333,10.41666667,305,673,368,1183,117,126,263,722,416,416,H.10H,1.260968186,H,C
1948,24.3,-12.8,4.15,-2.25,10.55,265,649,384,1219,116,131,235,738,472,472,H.10H,0.971136513,H,C
1947,24.6,-14.5,4.691666667,-1.116666667,10.5,328,643,315,1202,120,131,150,714,387,387,H.10H,1.030156071,H,C
1946,24.1,-16.1,4.608333333,-1.8,11.01666667,341,592,251,1295,122,139,154,732,389,393,H.10H,0.94859687,H,C
1945,23.5,-12.7,4.191666667,-1.2,9.583333333,182,568,386,1148,103,122,290,696,518,543,H.10H,0.808489471,H,C
1944,23.6,-12.2,3.933333333,-1.6,9.466666667,272,611,339,1077,105,118,247,699,428,428,H.10H,0.927784155,H,C
1943,24,-11.9,5.141666667,-0.583333333,10.86666667,312,686,374,1244,118,132,205,730,417,449,H.10H,0.968728635,H,C
1942,23.6,-13.5,3.933333333,-2.133333333,10,162,514,352,1115,105,120,210,716,554,554,H.10H,1.099341398,H,C
1941,22.9,-11.1,4.416666667,-0.6,9.433333333,397,876,479,1094,119,137,307,666,318,327,H.10H,1.391886939,H,C
1940,25.2,-12.7,4.85,-1.5,11.2,344,644,300,1323,131,142,225,740,415,465,H.10H,1.155443055,H,C
1939,23.8,-16,4,-2.8,10.8,219,553,334,1229,123,134,214,728,516,516,H.10H,1.059253544,H,C
1938,24,-11.1,4.558333333,-0.866666667,9.983333333,277,623,346,1155,115,130,231,703,427,482,H.10H,1.140318839,H,C
1937,24.8,-19.5,3.933333333,-2.683333333,10.55,242,617,375,1233,111,123,263,750,507,507,H.10H,1.20232651,H,C
1936,22.9,-12.6,4.166666667,-2.516666667,10.85,299,557,258,1245,123,131,170,723,425,439,H.10H,1.208733662,H,C
1935,22.6,-10.7,4.108333333,-1.35,9.566666667,342,711,369,1130,109,123,308,680,345,407,H.10H,0.927259211,H,C
1934,25.7,-10.3,6.308333333,1.083333333,11.53333333,231,459,228,1438,118,139,79,772,541,634,H.10H,0.878152236,H,C
1933,25.1,-18.5,3.433333333,-3.416666667,10.28333333,322,548,226,1255,114,123,222,728,407,452,H.10H,1.086981987,H,C
1932,24,-17,3.766666667,-2.766666667,10.3,346,714,368,1192,107,122,254,733,385,385,H.10H,0.913013157,H,C
1931,25.3,-15,4.708333333,-1.7,11.11666667,284,487,203,1302,120,129,131,752,468,518,H.10H,0.906432413,H,C
1930,23.9,-15,4.475,-1.783333333,10.73333333,320,553,233,1234,111,125,167,749,428,456,H.10H,1.088721529,H,C
1929,24.9,-14.2,3.175,-3.616666667,9.966666667,405,778,373,1165,111,123,283,710,318,318,H.10H,0.808605221,H,C
1928,24.2,-15.8,3.808333333,-2.166666667,9.783333333,206,480,274,1108,110,122,185,706,499,524,H.10H,1.117580713,H,C
1927,22.5,-13.7,4.025,-1.316666667,9.366666667,329,646,317,1044,115,131,214,664,362,395,H.10H,1.064386671,H,C
1926,23.5,-13.5,4.033333333,-2.016666667,10.08333333,342,592,250,1127,121,134,155,690,367,367,H.10H,1.262990883,H,C
1925,24.3,-16.3,4.466666667,-1.933333333,10.86666667,360,606,246,1257,129,141,151,712,363,404,H.10H,0.918771851,H,C
1924,24.4,-15.9,4.225,-2.116666667,10.56666667,175,431,256,1208,113,125,190,751,577,607,H.10H,0.871144113,H,C
1923,24.1,-11.6,4.416666667,-1.216666667,10.05,319,599,280,1153,113,124,185,703,385,439,H.10H,0.742424271,H,C
1922,24.8,-14.4,4.658333333,-1.25,10.56666667,201,520,319,1311,119,137,220,730,530,573,H.10H,0.673759425,H,C
1921,23.3,-12.4,4.708333333,-0.75,10.16666667,297,492,195,1177,116,131,94,703,408,422,H.10H,1.409641392,H,C
1920,24.2,-11.3,4.133333333,-1.266666667,9.533333333,293,678,385,1084,114,125,251,698,404,404,H.10H,0.770508795,H,C
2011,25.7,-13.5,5.433333333,-0.583333333,11.45,255,527,272,1435,126,148,132,739,482,506,H.11H,1.021140846,H,C
2010,24.9,-16.5,4.491666667,-2.366666667,11.35,247,609,362,1343,125,135,233,735,487,489,H.11H,1.260658191,H,C
2009,25.7,-12.1,5.5,-0.183333333,11.18333333,209,576,367,1371,127,142,166,749,538,560,H.11H,1.121145803,H,C
2008,24.8,-13.8,4.65,-1.383333333,10.68333333,236,497,261,1294,115,128,193,738,502,550,H.11H,0.794152666,H,C
2007,25.7,-14.1,5.441666667,-0.95,11.83333333,328,688,360,1440,126,141,174,766,435,445,H.11H,1.419470098,H,C
2006,24.9,-11.4,5.7,-0.016666667,11.41666667,366,727,361,1368,129,148,162,749,382,382,H.11H,1.024156534,H,C
2005,25,-11.6,5.125,-0.683333333,10.93333333,240,607,367,1297,120,138,175,734,494,494,H.11H,0.858581283,H,C
2004,24.5,-12.5,5.275,-0.416666667,10.96666667,239,610,371,1368,127,148,179,740,501,505,H.11H,0.811577289,H,C
2003,27.8,-10.2,5.908333333,-0.066666667,11.88333333,194,546,352,1454,128,143,156,765,571,572,H.11H,0.88615159,H,C
2002,26,-13.1,5.691666667,-0.666666667,12.05,252,517,265,1481,134,151,121,779,527,547,H.11H,0.395702186,H,C
2001,24.4,-11.9,5.475,-1.05,12,258,587,329,1455,132,150,156,772,516,516,H.11H,0.924669889,H,C
2000,25.6,-12.2,6.383333333,0.55,12.21666667,193,519,326,1514,133,148,130,786,593,625,H.11H,0.806050876,H,C
1999,23.2,-13.6,4.866666667,0.133333333,9.6,348,636,288,1131,108,124,141,695,347,360,H.11H,1.38662519,H,C
1998,24.4,-12.4,4.875,-0.933333333,10.68333333,346,666,320,1279,115,125,196,735,387,395,H.11H,1.011997043,H,C
1997,23.3,-10.6,4.941666667,-0.4,10.28333333,307,622,315,1233,124,142,166,708,406,419,H.11H,1.235717024,H,C
1996,25,-11.7,5.85,-0.083333333,11.78333333,308,576,268,1436,135,150,141,748,440,515,H.11H,0.89823377,H,C
1995,23.7,-11.3,4.95,-0.4,10.3,309,724,415,1205,123,143,211,682,376,377,H.11H,1.268849776,H,C
1994,24.9,-13.8,5.066666667,-1.733333333,11.86666667,320,560,240,1440,138,152,146,743,422,470,H.11H,0.979245897,H,C
1993,24.3,-13.1,4.675,-0.916666667,10.26666667,244,611,367,1234,118,139,214,714,476,522,H.11H,0.799387678,H,C
1992,22.7,-13.8,5.3,-0.983333333,11.58333333,312,703,391,1386,138,155,186,740,428,448,H.11H,1.017395542,H,C
1991,23.7,-15.6,4.491666667,-1.75,10.73333333,283,626,343,1292,123,137,205,720,437,442,H.11H,0.984642371,H,C
1990,25.5,-13.1,5.616666667,-0.683333333,11.91666667,384,565,181,1445,132,146,90,760,376,444,H.11H,1.205268094,H,C
1989,26.2,-14,5.8,-0.483333333,12.08333333,174,498,324,1518,128,149,178,792,618,700,H.11H,0.93653421,H,C
1988,24.5,-13.8,4.983333333,-1.416666667,11.38333333,290,647,357,1390,126,143,193,740,450,450,H.11H,0.936912974,H,C
1987,24.2,-11.7,4.958333333,-1.133333333,11.05,289,666,377,1273,124,141,203,745,456,456,H.11H,0.850966975,H,C
1986,24.3,-11.6,5.533333333,0.383333333,10.68333333,469,783,314,1282,125,146,137,706,279,294,H.11H,1.139270698,H,C
1985,25,-11.8,4.9,-1.45,11.25,352,780,428,1286,127,141,216,746,422,422,H.11H,0.705066272,H,C
1984,24.8,-14.2,5.025,-1.35,11.4,327,676,349,1430,132,150,232,732,405,442,H.11H,1.040029222,H,C
1983,24.4,-11.1,4.708333333,-1.05,10.46666667,361,760,399,1267,120,133,267,700,342,373,H.11H,1.115895923,H,C
1982,24.2,-12.8,4.891666667,-0.95,10.73333333,347,731,384,1272,125,144,201,706,371,373,H.11H,1.218311106,H,C
1981,23.9,-10.3,6.066666667,0.466666667,11.66666667,361,591,230,1404,134,148,111,731,371,385,H.11H,1.205341283,H,C
1980,25.4,-11,4.833333333,-1.116666667,10.78333333,276,669,393,1332,119,136,278,734,458,493,H.11H,0.768133913,H,C
1979,24.7,-15.3,4.133333333,-2.45,10.71666667,193,750,557,1297,120,136,384,735,542,549,H.11H,0.778866845,H,C
1978,25.6,-11.5,5.233333333,-0.166666667,10.63333333,245,690,445,1273,119,135,225,736,491,515,H.11H,0.725855267,H,C
1977,24.1,-15.5,4.883333333,-1.983333333,11.75,298,381,83,1393,129,137,68,747,451,503,H.11H,0.872794467,H,C
1976,24.8,-13.6,4.841666667,-0.95,10.63333333,281,515,234,1244,121,130,133,730,449,501,H.11H,0.909042711,H,C
1975,23.3,-14.1,3.666666667,-2.083333333,9.416666667,234,675,441,1115,104,121,292,692,459,459,H.11H,1.172554551,H,C
1974,23.4,-14.9,4.8,-1.25,10.85,181,408,227,1313,120,133,151,752,571,640,H.11H,1.099827703,H,C
1973,23.3,-15.3,3.558333333,-2.533333333,9.65,249,768,519,1135,109,132,325,701,452,452,H.11H,0.898995164,H,C
1972,25.1,-12.6,5.091666667,-0.8,10.98333333,248,508,260,1294,120,134,125,749,500,561,H.11H,0.981495141,H,C
1971,25,-12.9,4.333333333,-1.716666667,10.38333333,332,536,204,1186,108,118,131,731,398,398,H.11H,0.890825402,H,C
1970,24.2,-12.1,4.425,-1.2,10.05,306,611,305,1175,115,129,177,699,408,408,H.11H,1.234963261,H,C
1969,24.2,-14.4,4.6,-2,11.2,306,705,399,1320,129,144,262,715,409,431,H.11H,1.302075091,H,C
1968,22.8,-14.4,4.2,-1.133333333,9.533333333,260,515,255,1119,112,125,214,682,423,525,H.11H,1.102031467,H,C
1967,24,-13.6,4.975,-0.3,10.25,281,499,218,1228,120,135,126,693,412,498,H.11H,1.18409336,H,C
1966,25,-14.6,5.225,-0.966666667,11.41666667,240,577,337,1406,127,142,154,751,511,546,H.11H,1.229590572,H,C
1965,23.1,-12.7,4.166666667,-1.316666667,9.65,407,731,324,1120,118,130,264,661,271,345,H.11H,1.044594674,H,C
1964,24.5,-15,4.3,-1.683333333,10.28333333,333,537,204,1275,121,141,163,698,384,406,H.11H,1.02561077,H,C
1963,25.4,-16,5.416666667,-0.633333333,11.46666667,247,555,308,1425,129,148,142,739,492,492,H.11H,0.871513157,H,C
1962,24.8,-14.8,4.408333333,-2.116666667,10.93333333,199,488,289,1245,119,132,157,748,549,549,H.11H,0.935310376,H,C
1961,24.4,-13.9,4.925,-0.783333333,10.63333333,271,625,354,1259,119,137,171,729,458,463,H.11H,0.797366455,H,C
1960,25.8,-14.5,4.85,-1.583333333,11.28333333,204,604,400,1342,120,133,211,772,566,571,H.11H,0.951925582,H,C
1959,25,-12,5.341666667,-0.316666667,11,278,470,192,1321,124,138,103,741,464,485,H.11H,1.001206267,H,C
1958,25.4,-12.6,5,-1.133333333,11.13333333,199,649,450,1355,125,145,249,761,562,562,H.11H,1.222726519,H,C
1957,22.7,-14.2,4.508333333,-0.766666667,9.783333333,409,683,274,1147,112,125,182,684,287,315,H.11H,1.090251912,H,C
1956,24.1,-13.1,5.291666667,-0.466666667,11.05,119,395,276,1335,119,133,134,767,650,718,H.11H,0.928229906,H,C
1955,23.6,-15.5,4.308333333,-1.433333333,10.05,266,514,248,1221,113,131,179,706,440,471,H.11H,1.046424774,H,C
1954,24.2,-13.4,5.608333333,-0.2,11.41666667,309,619,310,1358,129,145,124,740,431,459,H.11H,1.25340745,H,C
1953,23.8,-12.5,4.658333333,-0.833333333,10.15,217,469,252,1239,113,124,184,707,492,568,H.11H,0.864073507,H,C
1952,23.5,-13.7,4.075,-2.716666667,10.86666667,233,625,392,1253,127,138,282,719,485,489,H.11H,0.850776939,H,C
1951,25.7,-11.7,5.216666667,0.05,10.38333333,261,468,207,1281,107,125,136,736,477,546,H.11H,0.859945291,H,C
1950,23.3,-13.4,4.416666667,-0.85,9.683333333,219,497,278,1070,98,109,145,727,508,528,H.11H,0.733682486,H,C
1949,23.9,-16.2,3.741666667,-2.933333333,10.41666667,305,673,368,1183,117,126,263,722,416,416,H.11H,0.961753886,H,C
1948,24.3,-12.8,4.15,-2.25,10.55,265,649,384,1219,116,131,235,738,472,472,H.11H,0.788385422,H,C
1947,24.6,-14.5,4.691666667,-1.116666667,10.5,328,643,315,1202,120,131,150,714,387,387,H.11H,1.13464076,H,C
1946,24.1,-16.1,4.608333333,-1.8,11.01666667,341,592,251,1295,122,139,154,732,389,393,H.11H,1.044871766,H,C
1945,23.5,-12.7,4.191666667,-1.2,9.583333333,182,568,386,1148,103,122,290,696,518,543,H.11H,0.789262293,H,C
1944,23.6,-12.2,3.933333333,-1.6,9.466666667,272,611,339,1077,105,118,247,699,428,428,H.11H,0.998162503,H,C
1943,24,-11.9,5.141666667,-0.583333333,10.86666667,312,686,374,1244,118,132,205,730,417,449,H.11H,1.223706327,H,C
1942,23.6,-13.5,3.933333333,-2.133333333,10,162,514,352,1115,105,120,210,716,554,554,H.11H,0.943665853,H,C
1941,22.9,-11.1,4.416666667,-0.6,9.433333333,397,876,479,1094,119,137,307,666,318,327,H.11H,1.122292196,H,C
1940,25.2,-12.7,4.85,-1.5,11.2,344,644,300,1323,131,142,225,740,415,465,H.11H,1.147326712,H,C
1939,23.8,-16,4,-2.8,10.8,219,553,334,1229,123,134,214,728,516,516,H.11H,0.872147898,H,C
1938,24,-11.1,4.558333333,-0.866666667,9.983333333,277,623,346,1155,115,130,231,703,427,482,H.11H,1.039486404,H,C
1937,24.8,-19.5,3.933333333,-2.683333333,10.55,242,617,375,1233,111,123,263,750,507,507,H.11H,1.380210002,H,C
1936,22.9,-12.6,4.166666667,-2.516666667,10.85,299,557,258,1245,123,131,170,723,425,439,H.11H,1.193521274,H,C
1935,22.6,-10.7,4.108333333,-1.35,9.566666667,342,711,369,1130,109,123,308,680,345,407,H.11H,1.095974359,H,C
1934,25.7,-10.3,6.308333333,1.083333333,11.53333333,231,459,228,1438,118,139,79,772,541,634,H.11H,0.826585819,H,C
1933,25.1,-18.5,3.433333333,-3.416666667,10.28333333,322,548,226,1255,114,123,222,728,407,452,H.11H,1.151928885,H,C
1932,24,-17,3.766666667,-2.766666667,10.3,346,714,368,1192,107,122,254,733,385,385,H.11H,1.104599611,H,C
1931,25.3,-15,4.708333333,-1.7,11.11666667,284,487,203,1302,120,129,131,752,468,518,H.11H,0.894478176,H,C
1930,23.9,-15,4.475,-1.783333333,10.73333333,320,553,233,1234,111,125,167,749,428,456,H.11H,0.659110538,H,C
1929,24.9,-14.2,3.175,-3.616666667,9.966666667,405,778,373,1165,111,123,283,710,318,318,H.11H,0.998177106,H,C
1928,24.2,-15.8,3.808333333,-2.166666667,9.783333333,206,480,274,1108,110,122,185,706,499,524,H.11H,0.880340101,H,C
1927,22.5,-13.7,4.025,-1.316666667,9.366666667,329,646,317,1044,115,131,214,664,362,395,H.11H,1.0073168,H,C
1926,23.5,-13.5,4.033333333,-2.016666667,10.08333333,342,592,250,1127,121,134,155,690,367,367,H.11H,0.877037527,H,C
1925,24.3,-16.3,4.466666667,-1.933333333,10.86666667,360,606,246,1257,129,141,151,712,363,404,H.11H,0.501895697,H,C
1924,24.4,-15.9,4.225,-2.116666667,10.56666667,175,431,256,1208,113,125,190,751,577,607,H.11H,0.704539927,H,C
1923,24.1,-11.6,4.416666667,-1.216666667,10.05,319,599,280,1153,113,124,185,703,385,439,H.11H,0.886174899,H,C
1922,24.8,-14.4,4.658333333,-1.25,10.56666667,201,520,319,1311,119,137,220,730,530,573,H.11H,0.783312993,H,C
1921,23.3,-12.4,4.708333333,-0.75,10.16666667,297,492,195,1177,116,131,94,703,408,422,H.11H,1.58213671,H,C
1920,24.2,-11.3,4.133333333,-1.266666667,9.533333333,293,678,385,1084,114,125,251,698,404,404,H.11H,1.186065749,H,C
1919,24.5,-16.3,3.975,-3.283333333,11.23333333,337,635,298,1330,132,149,240,726,388,411,H.11H,1.294415023,H,C
2011,25.7,-13.5,5.433333333,-0.583333333,11.45,255,527,272,1435,126,148,132,739,482,506,H.12H,1.003376408,H,C
2010,24.9,-16.5,4.491666667,-2.366666667,11.35,247,609,362,1343,125,135,233,735,487,489,H.12H,1.009443523,H,C
2009,25.7,-12.1,5.5,-0.183333333,11.18333333,209,576,367,1371,127,142,166,749,538,560,H.12H,0.91895372,H,C
2008,24.8,-13.8,4.65,-1.383333333,10.68333333,236,497,261,1294,115,128,193,738,502,550,H.12H,1.069408284,H,C
2007,25.7,-14.1,5.441666667,-0.95,11.83333333,328,688,360,1440,126,141,174,766,435,445,H.12H,1.636020585,H,C
2006,24.9,-11.4,5.7,-0.016666667,11.41666667,366,727,361,1368,129,148,162,749,382,382,H.12H,1.055482922,H,C
2005,25,-11.6,5.125,-0.683333333,10.93333333,240,607,367,1297,120,138,175,734,494,494,H.12H,0.674376592,H,C
2004,24.5,-12.5,5.275,-0.416666667,10.96666667,239,610,371,1368,127,148,179,740,501,505,H.12H,0.912204233,H,C
2003,27.8,-10.2,5.908333333,-0.066666667,11.88333333,194,546,352,1454,128,143,156,765,571,572,H.12H,0.789855524,H,C
2002,26,-13.1,5.691666667,-0.666666667,12.05,252,517,265,1481,134,151,121,779,527,547,H.12H,0.607348633,H,C
2001,24.4,-11.9,5.475,-1.05,12,258,587,329,1455,132,150,156,772,516,516,H.12H,0.824648935,H,C
2000,25.6,-12.2,6.383333333,0.55,12.21666667,193,519,326,1514,133,148,130,786,593,625,H.12H,0.998906226,H,C
1999,23.2,-13.6,4.866666667,0.133333333,9.6,348,636,288,1131,108,124,141,695,347,360,H.12H,1.402659531,H,C
1998,24.4,-12.4,4.875,-0.933333333,10.68333333,346,666,320,1279,115,125,196,735,387,395,H.12H,1.052779769,H,C
1997,23.3,-10.6,4.941666667,-0.4,10.28333333,307,622,315,1233,124,142,166,708,406,419,H.12H,0.981750813,H,C
1996,25,-11.7,5.85,-0.083333333,11.78333333,308,576,268,1436,135,150,141,748,440,515,H.12H,0.839046964,H,C
1995,23.7,-11.3,4.95,-0.4,10.3,309,724,415,1205,123,143,211,682,376,377,H.12H,0.950484985,H,C
1994,24.9,-13.8,5.066666667,-1.733333333,11.86666667,320,560,240,1440,138,152,146,743,422,470,H.12H,0.540804495,H,C
1993,24.3,-13.1,4.675,-0.916666667,10.26666667,244,611,367,1234,118,139,214,714,476,522,H.12H,0.46607425,H,C
1992,22.7,-13.8,5.3,-0.983333333,11.58333333,312,703,391,1386,138,155,186,740,428,448,H.12H,0.805864452,H,C
1991,23.7,-15.6,4.491666667,-1.75,10.73333333,283,626,343,1292,123,137,205,720,437,442,H.12H,1.13677861,H,C
1990,25.5,-13.1,5.616666667,-0.683333333,11.91666667,384,565,181,1445,132,146,90,760,376,444,H.12H,1.548332096,H,C
1989,26.2,-14,5.8,-0.483333333,12.08333333,174,498,324,1518,128,149,178,792,618,700,H.12H,1.086831357,H,C
1988,24.5,-13.8,4.983333333,-1.416666667,11.38333333,290,647,357,1390,126,143,193,740,450,450,H.12H,1.11475204,H,C
1987,24.2,-11.7,4.958333333,-1.133333333,11.05,289,666,377,1273,124,141,203,745,456,456,H.12H,1.197088789,H,C
1986,24.3,-11.6,5.533333333,0.383333333,10.68333333,469,783,314,1282,125,146,137,706,279,294,H.12H,1.414051723,H,C
1985,25,-11.8,4.9,-1.45,11.25,352,780,428,1286,127,141,216,746,422,422,H.12H,1.059488622,H,C
1984,24.8,-14.2,5.025,-1.35,11.4,327,676,349,1430,132,150,232,732,405,442,H.12H,1.090273766,H,C
1983,24.4,-11.1,4.708333333,-1.05,10.46666667,361,760,399,1267,120,133,267,700,342,373,H.12H,1.445337799,H,C
