Transect,Species,Elev,Tree,Core,TreeID,Tag,Path identification,Site identification,YearLastRing,Sapwood,Tree height,Tree age,SectionHeight,User variable,RingCount,DataType,OffsetToNext,ImageName,Analysis Date Time,Acquisition Date Time,Modified Date Time,ImageSizeH V NBits Channel,CalibMethod XCal YCal EditedDendro,ScannerCamera Make Model Software,LensFocLength [35mm],PathBegX BegY EndX EndY Width,RingBoundary AutoMan Meth Precise,EarlywoodDef,DensActive Media Calib,DensNSteps MatDens Interpol SampleThick,DensStepsThick,DensStepsLightInt,DensStepsWoodDens,DiskArea,DiskPerim,DiskAvgDiam,DiskFormCoef,CompWoodArea,VoidArea,PathLength,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,PIPO,L,1H,B,1H-B,CO-PIPO-L-1H-B,,,2013,0,0,0,0,0,89,RINGWIDTH,1,CO-PIPO-L-1H_both.tif,11/7/2013 16:58,                   ,,2422 9294 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],1768.0000 8456.0000 1768.0000 392.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,170.6456,,0.507,0.59,1.622,1.057,1.227,1.015,1.141,1.15,1.544,0.697,0.583,0.042,0.67,0.786,2.069,1.559,2.006,0.735,1.765,1.366,1.097,1.576,1.455,1.178,1.091,1.379,1.359,2.018,1.156,1.2,2.254,1.157,1.261,1.085,1.199,1.103,0.43,0.9,1.818,1.094,1.439,0.953,0.887,0.559,1.534,1.182,1.44,1.414,2.177,1.275,1.39,0.97,1.146,0.746,0.288,1.535,2.348,1.948,2.507,1.781,1.848,2.557,1.014,1.476,2.394,2.105,2.069,1.892,1.986,2.314,2.992,2.787,3.402,2.218,1.894,2.17,2.641,1.925,1.491,1.197,1.157,1.981,1.273,2.514,2.538,2.307,3.703,3.198,3.749,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,PIPO,L,1L,A,1L-A,CO-PIPO-L-1L-A,,,2013,0,0,0,0,0,101,RINGWIDTH,1,CO-PIPO-L-1L-A.tif,11/7/2013 17:11,                   ,,807 9845 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],282.0000 7602.0000 282.0000 288.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,154.7745,,0.317,0.296,0.676,0.486,0.571,0.528,0.549,0.38,0.591,0.33,0.324,0.084,0.36,0.591,1.077,0.824,0.886,0.63,1.087,0.621,0.635,1.205,0.867,0.801,0.631,0.904,0.82,1.119,0.992,0.904,1.095,0.972,0.634,0.697,0.802,0.908,0.338,0.972,0.952,0.741,0.973,0.888,0.888,0.55,1.312,1.417,1.1,1.079,0.973,1.016,0.843,0.857,0.578,0.719,0.211,0.909,1.393,1.079,1.311,1.268,1.311,1.58,0.674,1.058,1.693,1.46,1.756,1.227,1.375,1.291,1.926,2.094,2.941,1.984,1.987,2.239,2.427,1.733,1.456,1.247,1.618,2.077,2.179,2.881,2.322,2.304,2.45,2.723,2.442,2.286,2.681,2.442,3.205,3.203,3.019,2.624,2.343,2.688,2.571,3.648,0.328,,,,,,,,,,,,,,,
CO,PIPO,L,2H,B,2H-B,CO-PIPO-L-2H-B,,,2013,0,0,0,0,0,95,RINGWIDTH,1,CO-PIPO-L-2H - B.tif,11/7/2013 17:11,                   ,,630 11125 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],192.0000 7792.0000 192.0000 480.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,154.7322,,0.229,0.222,0.657,0.793,0.748,0.556,0.648,0.355,0.644,0.352,0.455,0.056,0.277,0.396,0.867,0.621,0.645,0.413,1.103,0.748,0.815,1.035,0.903,0.888,0.852,1.035,1.058,1.49,1.162,1.352,1.203,1.356,1.034,0.804,0.38,0.543,0.146,0.807,1.019,0.7,1.146,0.835,0.873,0.973,1.632,1.053,1.43,1.503,1.606,0.665,0.521,0.641,0.716,0.677,0.188,0.905,1.88,0.901,1.499,0.741,1.117,1.697,0.614,1.126,2.009,1.663,2.027,1.878,1.757,2.029,2.397,2.224,3.699,3.021,2.529,3.169,2.915,1.502,1.687,1.264,1.311,2.782,1.681,2.744,2.75,1.993,3.356,2.709,2.078,2.39,3.461,1.892,3.232,3.322,4.008,,,,,,,,,,,,,,,,,,,,,
CO,PIPO,L,2H,A,2H-A,CO-PIPO-L-2H-A,,,2013,0,0,0,0,0,100,RINGWIDTH,1,CO-PIPO-L-2H-A.tif,11/7/2013 17:12,                   ,,2217 11122 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],240.0000 7952.0000 240.0000 368.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,160.4881,,0.18,0.317,0.613,0.825,0.783,0.823,0.569,0.462,0.865,0.464,0.612,0.071,0.563,0.593,1.46,0.985,1.276,0.71,1.55,0.898,0.76,1.604,0.697,0.95,0.828,1.179,1.138,1.793,1.078,1.089,1.058,1.303,0.99,0.918,0.983,0.733,0.18,0.901,0.873,0.676,1.047,0.762,0.949,1.055,1.58,1.294,1.781,1.243,1.723,0.586,0.852,0.82,0.737,1.11,0.272,0.606,1.905,0.756,1.131,0.981,1.002,1.823,1.141,1.235,2.379,1.49,2.458,1.781,2.137,1.927,2.635,2.582,3.104,2.484,2.421,3.34,3.027,1.837,1.658,1.285,1.366,2.338,1.732,2.524,2.068,1.935,2.546,2.743,1.658,2.211,3.097,2.282,3.397,2.906,3.164,2.741,2.177,3.402,3.296,2.794,,,,,,,,,,,,,,,,
CO,PIPO,L,2L,A,2L-A,CO-PIPO-L-2L-A,,,2013,0,0,0,0,0,93,RINGWIDTH,1,CO-PIPO-L-2L-both.tif,11/7/2013 17:16,                   ,,2205 11302 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],288.0000 8000.0000 288.0000 32.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,168.6141,,0.231,0.392,0.82,0.635,0.676,0.486,0.655,0.535,0.703,0.563,0.342,0.063,0.313,0.586,1.309,0.845,1.416,0.676,1.625,1.121,1.1,1.501,1.099,0.93,0.824,1.206,0.973,1.545,1.1,0.992,1.481,1.036,0.781,0.762,0.91,0.888,0.359,0.781,1.393,1.034,1.415,0.99,1.395,1.46,1.458,1.797,1.768,1.236,1.76,1.257,1.089,0.772,0.775,0.831,0.146,1.218,2.137,1.006,1.788,1.58,1.538,1.802,1.219,1.538,2.997,2.201,2.207,1.906,1.975,2.071,3.046,2.497,3.85,2.603,2.624,3.555,3.977,3.023,3.401,2.322,3.194,4.158,3.006,5.013,4.006,3.687,4.328,3.411,3.729,3.005,4.481,3.861,3.04,,,,,,,,,,,,,,,,,,,,,,,
CO,PIPO,L,2L,B,2L-B,CO-PIPO-L-2L-B,,,2013,0,0,0,0,0,83,RINGWIDTH,1,CO-PIPO-L-2L-both.tif,11/7/2013 17:16,                   ,,2205 11302 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],1770.0000 7430.0000 1650.0000 320.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,150.4823,,0.274,0.373,0.843,0.637,0.906,0.491,0.683,0.372,0.75,0.505,0.45,0.056,0.409,0.368,0.716,0.778,1.628,0.659,1.585,1.029,1.295,2.025,1.218,1.013,0.859,1.602,1.384,1.805,1.289,1.268,1.984,1.353,1.071,0.964,1.183,1.112,0.473,1.343,1.571,1.296,1.686,1.499,1.6,1.907,2.587,2.056,1.99,1.741,1.959,1.046,0.949,0.978,0.615,1.066,0.11,1.169,1.538,1.103,1.748,1.101,1.504,1.62,1.182,1.69,2.595,1.75,2.304,1.733,1.977,2.39,2.338,2.507,4.279,3.098,2.83,3.815,4.162,3.172,2.681,3.361,3.787,6.185,1.196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,PIPO,L,3H,A,3H-A,CO-PIPO-L-3H-A,,,2013,0,0,0,0,0,98,RINGWIDTH,1,CO-PIPO-L-3H-Both.tif,11/7/2013 17:18,                   ,,2973 12149 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],340.0000 8690.0000 410.0000 440.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,174.5879,,0.064,0.196,0.738,0.634,0.634,0.528,0.549,0.529,0.657,0.226,0.127,0.053,0.151,0.246,0.803,0.697,1.061,0.333,1.65,0.867,0.803,0.739,0.671,0.442,0.692,1.098,1.439,1.693,1.016,1.227,1.396,1.035,1.352,1.14,0.802,0.929,0.169,0.971,1.964,1.333,1.524,1.024,1.491,0.825,1.945,1.67,1.627,1.227,1.29,0.74,0.782,0.802,0.591,0.545,0.152,1.096,1.518,0.927,1.434,1.224,1.241,1.89,0.377,0.967,1.37,0.993,1.248,1.058,1.841,1.417,2.432,2.02,2.656,1.988,2.157,2.641,3.291,2.313,1.838,1.248,1.755,1.717,1.201,3.679,3.838,2.509,3.942,4.468,3.443,4.362,4.445,4.181,4.283,4.831,6.086,4.799,5.255,3.543,,,,,,,,,,,,,,,,,,
CO,PIPO,L,3H,B,3H-B,CO-PIPO-L-3H-B,,,2013,0,0,0,0,0,95,RINGWIDTH,1,CO-PIPO-L-3H-Both.tif,11/7/2013 17:18,                   ,,2973 12149 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],2224.0000 10640.0000 2528.0000 368.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,217.4646,,0.142,0.542,1.065,0.981,0.835,1.002,0.985,0.936,1.33,0.528,0.657,0.073,0.491,0.753,1.63,1.232,1.737,0.587,2.731,1.326,1.135,1.197,0.944,0.817,1.214,1.304,1.655,2.285,1.427,1.421,2.503,1.807,1.781,1.496,0.969,1.349,0.294,1.148,2.255,1.47,1.768,1.362,2.086,1.259,2.17,2.462,2.337,1.703,1.96,1.499,1.264,1.151,0.717,0.572,0.215,1.305,1.68,1.205,1.842,1.528,1.4,2.409,0.908,1.126,2.003,1.645,2.203,1.331,2.059,2.07,3.036,2.932,3.323,2.385,3.116,3.538,3.843,3.005,2.738,1.78,2.663,2.938,2.285,4.702,4.418,3.798,5.069,4.736,4.466,5.69,5.278,4.873,7.168,5.741,4.012,,,,,,,,,,,,,,,,,,,,,
CO,PIPO,L,3L,A,3L-A,CO-PIPO-L-3L-A,,,2013,0,0,0,0,0,95,RINGWIDTH,1,CO-PIPO-L-3L-Both.tif,11/7/2013 17:19,                   ,,2106 12779 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],252.0000 11832.0000 252.0000 759.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,234.3203,,0.254,0.487,1.122,1.249,1.142,0.931,0.995,1.142,1.205,0.846,0.845,0.116,0.983,1.141,1.879,1.416,2.156,0.931,2.094,1.269,1.164,1.883,1.333,1.016,1.458,1.896,1.718,2.765,1.571,1.383,2.43,2.039,1.306,1.315,1.767,1.312,0.605,1.44,2.233,1.739,2.374,1.723,2.143,1.286,2.494,2.112,2.026,1.543,1.9,1.312,1.459,1.617,1.534,1.222,0.781,1.847,2.765,1.439,1.81,1.58,1.933,2.442,1.55,1.566,2.367,1.731,2.05,1.608,2.073,2.18,2.814,2.816,2.823,2.818,2.493,2.963,3.259,2.862,3.314,2.543,3.145,4.39,3.652,4.658,4.441,4.783,5.388,5.059,4.627,5.872,6.149,4.785,5.996,6.805,4.134,,,,,,,,,,,,,,,,,,,,,
CO,PIPO,L,3L,B,3L-B,CO-PIPO-L-3L-B,,,2013,0,0,0,0,0,96,RINGWIDTH,1,CO-PIPO-L-3L-Both.tif,11/7/2013 17:19,                   ,,2106 12779 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],1680.0000 11090.0000 1680.0000 46.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,233.7743,,0.202,0.505,1.079,1.205,1.036,0.677,0.723,0.949,0.973,0.719,0.698,0.047,0.862,1.099,1.735,1.22,1.494,0.915,2.011,1.07,0.883,1.585,1.013,0.991,1.394,1.288,1.541,1.962,1.004,1.301,2.667,2.199,1.427,1.297,1.688,1.182,0.676,1.35,2.148,1.646,2.036,1.581,2.448,1.453,2.348,2.388,2.387,1.784,2.375,1.729,1.603,1.415,1.475,1.411,0.746,1.95,2.945,1.732,2.209,1.56,1.618,2.607,1.424,1.888,2.778,1.978,2.558,1.724,2.382,2.545,3.137,3.173,4.358,2.755,2.571,3.645,3.114,2.814,2.435,2.18,3.178,4.261,3.234,5.142,3.62,3.454,4.988,4.933,4.026,4.419,4.838,3.788,5.657,4.973,5.376,7.778,,,,,,,,,,,,,,,,,,,,
CO,PIPO,L,3L,A,3L-A,CO-PIPO-L-3L-A,,,2013,0,0,0,0,0,95,RINGWIDTH,1,CO-PIPO-L-3L-Both.tif,11/7/2013 17:21,                   ,,2106 12779 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],252.0000 11832.0000 252.0000 759.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,234.3203,,0.254,0.487,1.122,1.249,1.142,0.931,0.995,1.142,1.205,0.846,0.845,0.095,1.004,1.141,1.879,1.416,2.156,0.931,2.094,1.269,1.164,1.883,1.333,1.016,1.458,1.896,1.718,2.765,1.571,1.383,2.43,2.039,1.306,1.315,1.767,1.312,0.605,1.44,2.233,1.739,2.374,1.723,2.143,1.286,2.494,2.112,2.026,1.543,1.9,1.312,1.459,1.617,1.534,1.222,0.781,1.847,2.765,1.439,1.81,1.58,1.933,2.442,1.55,1.566,2.367,1.731,2.05,1.608,2.073,2.18,2.814,2.816,2.823,2.818,2.493,2.963,3.259,2.862,3.314,2.543,3.145,4.39,3.652,4.658,4.441,4.783,5.388,5.059,4.627,5.872,6.149,4.785,5.996,6.805,4.134,,,,,,,,,,,,,,,,,,,,,
CO,PIPO,L,3L,B,3L-B,CO-PIPO-L-3L-B,,,2013,0,0,0,0,0,96,RINGWIDTH,1,CO-PIPO-L-3L-Both.tif,11/7/2013 17:21,                   ,,2106 12779 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],1680.0000 11090.0000 1680.0000 46.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,233.7743,,0.202,0.505,1.079,1.205,1.036,0.677,0.723,0.949,0.973,0.719,0.698,0.068,0.841,1.099,1.735,1.22,1.494,0.915,2.011,1.07,0.883,1.585,1.013,0.991,1.394,1.288,1.541,1.962,1.004,1.301,2.667,2.199,1.427,1.297,1.688,1.182,0.676,1.35,2.148,1.646,2.036,1.581,2.448,1.453,2.348,2.388,2.387,1.784,2.375,1.729,1.603,1.415,1.475,1.411,0.746,1.95,2.945,1.732,2.209,1.56,1.618,2.607,1.424,1.888,2.778,1.978,2.558,1.724,2.382,2.545,3.137,3.173,4.358,2.755,2.571,3.645,3.114,2.814,2.435,2.18,3.178,4.261,3.234,5.142,3.62,3.454,4.988,4.933,4.026,4.419,4.838,3.788,5.657,4.973,5.376,7.778,,,,,,,,,,,,,,,,,,,,
CO,PIPO,L,4H,B,4H-B,CO-PIPO-L-4H-B,,,2013,0,0,0,0,0,90,RINGWIDTH,1,CO-PIPO-L-4H_both.tif,11/7/2013 17:22,                   ,,2067 10101 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],256.0000 8194.0000 270.0000 315.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,166.7438,,0.254,0.465,1.079,1.099,1.099,0.824,0.909,1.099,1.247,0.571,0.454,0.021,0.601,0.821,1.856,1.151,2.129,0.957,2.218,1.225,1.365,1.938,0.831,0.18,0.867,1.685,1.727,2.022,1.326,1.323,2.093,1.864,1.472,0.924,0.997,1.145,0.501,1.168,1.549,1.232,1.638,1.205,1.549,1.214,2.025,1.922,2.056,1.016,1.426,1.272,1.047,1.05,0.777,1.026,0.199,1.148,1.72,1.288,1.567,1.13,1.358,1.835,0.751,0.889,1.952,1.414,1.583,1.197,1.911,1.943,2.388,2.156,3.226,2.645,1.936,2.463,2.759,2.404,2.425,1.682,2.279,3.391,1.903,3.309,3.213,2.81,3.957,4.301,3.8,4.701,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,PIPO,L,4H,A,4H-A,CO-PIPO-L-4H-A,,,2013,0,0,0,0,0,90,RINGWIDTH,1,CO-PIPO-L-4H_both.tif,11/7/2013 17:22,                   ,,2067 10101 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],1810.0000 7716.5000 1864.0000 462.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,153.5214,,0.136,0.229,0.566,0.514,0.566,0.44,0.414,0.505,0.627,0.32,0.281,0.042,0.339,0.503,0.946,0.781,1.154,0.448,1.246,0.78,0.568,0.655,0.569,0.683,0.719,1.047,0.995,1.858,1.18,1.282,1.96,1.416,1.401,1.057,1.058,1.086,0.394,1.057,1.415,1.226,1.439,0.802,0.843,1.149,1.976,2.048,1.626,1.774,1.768,1.171,0.762,1.167,0.899,0.998,0.206,0.895,1.924,1.112,1.337,1.053,1.18,1.176,0.452,1.037,1.606,1.114,1.481,1.265,2.584,1.869,2.556,1.981,2.609,2.101,2.11,2.377,2.883,2.834,2.097,1.815,2.192,3.252,2.029,3.563,3.693,3.358,4.7,4.559,5.472,0.823,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,PIPO,L,4L,A,4L-A,CO-PIPO-L-4L-A,,,2013,0,0,0,0,0,81,RINGWIDTH,1,CO-PIPO-L-4L-Both.tif,11/7/2013 17:23,                   ,,2067 11224 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],138.5000 7758.5000 170.0000 296.5000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,157.9118,,0.663,0.675,1.312,1.353,1.198,0.651,0.864,0.527,0.799,0.484,0.611,0.052,0.58,0.528,1.096,0.769,1.438,0.623,2.351,1.34,1.101,1.536,1.449,1.476,1.099,1.475,1.148,1.702,1.049,0.999,1.894,2.044,1.698,1.087,1.362,1.204,0.249,1.366,1.827,0.774,1.061,1.205,1.83,1.495,2.016,2.68,2.843,2.553,3.455,1.929,2.557,1.71,1.585,1.626,0.864,2.367,2.634,2.484,2.553,2.35,3.129,2.765,1.788,2.317,2.929,2.597,2.985,2.387,2.332,2.28,2.955,2.334,2.856,2.389,2.501,2.607,2.386,2.647,2.616,3.2,5.241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,PIPO,L,4L,B,4L-B,CO-PIPO-L-4L-B,,,2013,0,0,0,0,0,70,RINGWIDTH,1,CO-PIPO-L-4L-Both.tif,11/7/2013 17:23,                   ,,2067 11224 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],1696.0000 6764.0000 1672.0000 88.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,141.2806,,0.296,0.434,0.959,1.087,0.907,0.558,0.745,0.515,0.637,0.466,0.48,0.048,0.372,0.509,0.846,0.617,1.585,0.631,1.907,1.205,0.786,1.204,1.331,0.816,0.982,1.498,1.081,1.764,0.865,0.848,2.138,1.833,1.493,0.917,1.154,1.058,0.302,1.399,1.481,1.119,0.998,1.63,1.744,0.998,2.379,2.345,3.112,2.477,2.949,2.151,1.791,2,1.415,1.536,0.552,2.2,2.203,2.32,3.213,2.244,3.255,2.488,1.437,2.051,2.601,2.524,2.615,2.397,2.744,7.304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,PIPO,L,5H,A,5H-A,CO-PIPO-L-5H-A,,,2013,0,0,0,0,0,112,RINGWIDTH,1,CO-PIPO-L-5H-Both.tif,11/7/2013 17:25,                   ,,2776 12484 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],276.0000 10529.0000 592.0000 61.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,223.4985,,0.07,0.092,0.3,0.283,0.297,0.305,0.265,0.316,0.399,0.221,0.284,0.028,0.321,0.321,0.443,0.337,0.61,0.169,1.076,0.57,0.717,0.407,0.365,0.632,0.737,1.296,1.116,0.944,0.745,0.838,1.586,1.133,0.791,0.804,0.846,0.74,0.096,0.369,0.825,0.304,1.075,0.479,0.503,0.545,1.33,1.323,1.382,1.411,1.691,1.197,0.9,1.042,0.743,0.716,0.052,0.831,1.815,0.883,1.175,0.684,1.063,1.821,0.511,0.688,1.585,1.516,1.706,1.308,2.286,1.403,2.133,1.712,1.781,1.804,1.265,1.547,1.689,1.592,1.642,0.544,0.819,1.969,1.132,2.365,3.386,1.864,2.709,2.698,1.281,2.656,2.748,2.934,3.158,3.749,5.372,3.368,3.46,4.921,6.248,5.559,5.153,5.372,6.465,5.142,5.315,6.088,4.99,5.287,4.032,3.682,4.997,2.97,,,,
