,State,Species,Band,Pair,Comp,Tag,Lat,Long,Elev,Aspect,Slope,DBH,Bark,BAF,PIPO_L,PIPO_R,PIPO_G,POTR_L,POTR_R,POTR_G,PIEN_L,PIEN_R,PIEN_G,PSME_L,PSME_R,PSME_G,ABLA_L,ABLA_R,ABLA_G,PIED_L,PIED_R,PIED_G,QUGA_L,QUGA_R,QUGA_G,Jun_sp_L,Jun_sp_R,Jun_sp_G,BA_tot,BA_sameL,BA_sameLR,BA_sameRG,BA_same_all,BA_otherL,BA_otherLR,BA_otherRG,BA_other_all,BA_totL,BA_totR,BA_totG,PIPO_5,PIPO_5d,POTR_5,POTR_5d,PIEN_5,PIEN_5d,ABLA_5,ABLA_5d,PSME_5,PSME_5d,PIED_5,PIED_5d,QUGA_5,PIPU_5,PIPU_5d,Jun_sp_5,Jun_sp_5d,in5_tot,in5_L,in5_same,in5_sameL,in5_other,in5_otherL,N_Cr,p_bot.of.canopy.,p_top.of.canopy.,p_base.ref.,dist,three_cams,Notes,pic_N,pic_S,PIPO_r1,PIPO_r2,PIPO_r3,PIPO_r4,PIPO_reg_dead,POTR_r1,POTR_r2,POTR_r3,POTR_r4,POTR_reg_dead,PSME_r1,PSME_r2,PSME_r3,PSME_r4,PSME_rdead,ABLA_r1,ABLA_r2,ABLA_r3,ABLA_r4,ABLA_rt,ABLA_rdead,PIEN_r1,PIEN_r2,PIEN_r3,PIEN_r4,PIEN_rt,PIEN_rdead,PIED_R1,PIED_r2,PIED_r3,PIED_r4,PIED_rdead,Jun_spR1,Jun_spr2,Jun_spr3,Jun_spr4,Jun_sprdead,other
13,CO,ABLA,H,7,H,ABLA-H-07H,37.46888,108.0892,3504,SW,33,33.4,1.3,10,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,190,190,0,190,190,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,5,5,1,1,4,4,2,16.9,76.3,0,19,n,iphone and Olympia,NA,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,1,2,0,0,0,NA,0,0,1,1,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA
14,CO,ABLA,H,7,L,ABLA-H-07L,37.46905,108.08965,3491,SW,35,27.5,1.9,10,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,90,90,0,90,90,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3,3,1,1,2,2,1,16.9,76.3,0,19,n,iphone and Olympia,NA,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,8,0,0,1,0,NA,0,1,4,3,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA
16,CO,ABLA,H,8,H,ABLA-H-08H,37.46916,108.08898,3519,WSW,38,25,1.3,10,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,220,220,0,220,220,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,7,7,2,2,5,5,3,16.8,91.7,0,23,n,iphone and Olympia,NA,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,1,0,0,0,NA,1,1,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA
15,CO,ABLA,H,8,L,ABLA-H-08L,37.46901,108.08849,3522,SW,35,26,1.4,10,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,130,130,0,130,130,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3,3,1,1,2,2,1,0,85.4,0,14,n,iphone and Olympia,NA,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,1,4,0,0,0,NA,0,0,1,1,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA
18,CO,ABLA,H,9,H,ABLA-H-09H,37.46756,108.08887,3497,SSW,40,46.4,1.7,10,0,0,0,0,0,0,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,150,150,20,170,150,0,20,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,6,6,4,9,80.2,0,27,n,iphone and Olympia,NA,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,3,1,0,0,0,NA,2,0,1,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA
17,CO,ABLA,H,9,L,ABLA-H-09L,37.46798,108.08897,3493,SSW,33,46.6,1.6,10,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,110,110,0,110,110,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,1,1,1,7.2,85.2,0,28,n,iphone and Olympia,NA,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,1,4,0,1,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA
19,CO,ABLA,H,10,H,ABLA-H-10H,37.46767,108.08819,3512,SSW,47,28.7,1.5,10,0,0,0,0,0,0,16,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,180,0,0,10,10,160,160,10,170,160,0,20,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,5,5,3,16,73.6,0,22,n,iphone and Olympia,NA,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,1,1,2,1,0,NA,0,0,0,1,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA
20,CO,ABLA,H,10,L,ABLA-H-10L,37.46776,108.0879,3526,SSW,47,31.8,1.4,10,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,120,120,0,120,120,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3,3,1,1,2,2,2,10.5,59.9,0,20,n,iphone and Olympia,NA,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,2,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA
22,CO,ABLA,H,11,H,ABLA-H-11H,37.4683,108.08817,3529,SW,35,29.4,1.6,10,0,0,0,0,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,160,160,10,170,160,0,10,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,6,6,1,1,5,5,3,24.4,82.8,0,16,n,iphone and Olympia,NA,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,1,1,2,3,3,NA,0,1,1,1,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA
21,CO,ABLA,H,11,L,ABLA-H-11L,37.46836,108.088,3540,SW,35,29.8,1.4,10,0,0,0,0,0,0,12,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,150,30,30,0,30,120,120,0,120,150,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,2,9,113.7,0,15,n,iphone and Olympia,NA,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,4,1,0,2,0,NA,0,0,1,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA
24,CO,ABLA,H,12,H,ABLA-H-12H,37.46728,108.08925,3478,SW,30,29.5,1.3,10,0,0,0,0,0,0,12,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,180,50,50,0,50,120,120,10,130,170,0,10,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,5,5,2,2,3,3,4,21,82,0,17,n,,167,168,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA
23,CO,ABLA,H,12,L,ABLA-H-12L,37.4674,108.08955,3469,SW,30,35.7,2,10,0,0,0,0,0,0,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,140,140,20,160,140,0,20,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,3,2,6.5,69.1,0,23,n,,165,166,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,1,3,0,1,1,NA,1,1,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA
25,CO,ABLA,H,13,H,ABLA-H-13H,37.46767,108.08994,3460,WSW,40,31.6,1.2,10,0,0,0,0,0,0,9,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,200,100,100,10,110,90,90,0,90,190,0,10,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,7,7,3,3,4,4,5,NA,NA,0,NA,n,80% ACF,169,170,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,6,0,1,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA
26,CO,ABLA,H,13,L,ABLA-H-13L,37.46779,108.09018,3447,WSW,40,37.1,1.6,10,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,40,20,20,0,20,20,20,0,20,40,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,1,0,0,66,0,30,n,,171,172,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,1,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA
27,CO,ABLA,H,14,H,ABLA-H-14H,37.46849,108.08926,3518,SW,40,27.2,1.3,10,0,0,0,0,0,0,11,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,160,40,50,10,50,110,110,0,110,150,10,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,6,6,2,2,4,4,5,50,100,0,18,n,,173,174,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,1,1,0,NA,0,0,1,1,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA
28,CO,ABLA,H,14,L,ABLA-H-14L,37.46861,108.08939,3496,SW,40,25,1.1,10,0,0,0,0,0,0,10,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,140,30,30,10,40,100,100,0,100,130,0,10,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,4,4,2,2,2,2,1,12,56,0,15,n,,175,176,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,1,4,2,0,0,NA,0,1,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA
29,CO,ABLA,H,15,H,ABLA-H-15H,37.46996,108.09029,3471,SW,40,25.1,1.2,10,0,0,0,0,0,0,4,0,1,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,160,80,80,30,110,40,40,10,50,120,0,40,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,8,8,7,7,1,1,4,0,27.3,0,30,n,,177,178,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,2,4,1,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA
30,CO,ABLA,H,15,L,ABLA-H-15L,37.46978,108.09029,3461,WSW,40,25.7,1.8,10,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,40,40,40,0,40,0,0,0,0,40,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,21,44,0,22,n,,179,181,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA
31,CO,ABLA,L,1,H,ABLA-L-01H,37.47528,108.16043,3060,SSW,15,40.5,1.3,10,0,0,0,23,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,330,30,30,0,30,300,300,0,300,330,0,0,0,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,12,12,6,50,100,0,19,y,near POTR-H-1H,134,135,0,0,0,0,NA,8,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,1,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA
32,CO,ABLA,L,1,L,ABLA-L-01L,37.47547,108.16011,3060,SW,15,34.6,1.4,10,0,0,0,3,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,70,20,20,0,20,50,50,0,50,70,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,2,0,45.9,0,29,y,near POTR-H-1L,132,133,0,0,0,0,NA,38,9,6,5,NA,0,0,0,0,NA,1,0,0,0,0,NA,1,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA
34,CO,ABLA,L,2,H,ABLA-L-02H,37.47612,108.15976,3073,S,10,40.7,1.3,10,0,0,0,3,0,0,1,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,210,170,170,0,170,40,40,0,40,210,0,0,0,0,1,0,1,0,7,0,0,0,0,0,0,0,0,0,0,9,9,7,7,2,2,5,28.8,69.7,0,31,y,,142,143,0,0,0,0,NA,17,3,0,0,NA,0,0,0,0,NA,2,1,0,3,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA
33,CO,ABLA,L,2,L,ABLA-L-02L,37.47634,108.16026,3076,SW,6,43.3,1.5,10,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,110,50,50,0,50,60,60,0,60,110,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,0,2,23.5,100,0,22,y,,140,141,0,0,0,0,NA,18,2,0,0,NA,0,0,0,0,NA,21,7,1,1,0,2,1,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA
36,CO,ABLA,L,3,H,ABLA-L-03H,37.47689,108.15817,3073,SW,40,25.3,1,10,0,0,0,8,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,220,100,100,0,100,120,120,0,120,220,0,0,0,0,3,0,2,0,3,0,0,0,0,0,0,0,0,0,0,8,8,3,3,5,5,5,36,101,-29.1,17,y,,147,148,0,0,0,0,NA,15,3,0,0,NA,0,0,0,0,NA,4,1,0,2,0,4,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA
35,CO,ABLA,L,3,L,ABLA-L-03L,37.47723,108.15843,3093,SW,20,33.2,1.3,10,0,0,0,3,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,70,10,10,10,20,50,50,0,50,60,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,16,y,,144,145,0,0,0,0,NA,32,18,16,0,NA,0,0,0,0,NA,6,11,12,10,0,NA,0,0,0,1,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA
38,CO,ABLA,L,4,H,ABLA-L-04H,37.47802,108.15924,3093,WSW,15,34,1,10,0,0,0,4,0,0,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,160,50,50,0,50,110,110,0,110,160,0,0,0,0,1,0,3,0,4,0,0,0,0,0,0,0,0,0,0,8,8,4,4,4,4,5,55.2,90,0,25,y,,155,156,0,0,0,0,NA,14,3,0,0,NA,0,0,0,0,NA,10,5,5,7,0,"3,3",3,4,8,5,0,3,0,0,0,0,NA,0,0,0,0,NA,NA
37,CO,ABLA,L,4,L,ABLA-L-04L,37.4782,108.15935,3091,WSW,15,48.5,1.3,10,0,0,0,1,0,0,5,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,140,60,60,20,80,60,60,0,60,120,0,20,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,1,0,70,95,0,25,y,,153,154,0,0,0,0,NA,5,2,0,0,NA,0,0,0,0,NA,29,2,1,1,0,NA,20,3,2,1,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA
40,CO,ABLA,L,5,H,ABLA-L-05H,37.47926,108.15854,3102,SW,5,28.1,0.9,10,0,0,0,0,0,0,10,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,170,60,60,0,60,100,100,10,110,160,0,10,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,9,9,5,5,4,4,5,48.7,93,0,22,y,missed second pic,160,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,5,4,1,1,0,4,1,0,1,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA
39,CO,ABLA,L,5,L,ABLA-L-05L,37.47939,108.15802,3099,SW,5,28.5,1.2,10,0,0,0,0,0,0,10,0,1,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,180,60,70,10,70,100,100,10,110,160,10,10,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,3,3,2,2,1,1,2,34,79,0,27,y,,157,159,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,21,8,1,2,0,2,2,0,0,1,0,1,0,0,0,0,NA,0,0,0,0,NA,NA
42,CO,ABLA,L,6,H,ABLA-L-06H,37.4731,108.15221,3075,S,10,58.5,2,10,0,0,0,7,0,1,3,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,160,40,40,0,40,100,100,20,120,140,0,20,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,8,8,6,6,2,2,3,24.2,83.3,-8.1,31,y,,338,339,0,0,0,0,NA,51,33,2,0,"1,1,1,1",0,0,0,0,NA,0,0,0,0,0,NA,2,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA
41,CO,ABLA,L,6,L,ABLA-L-06L,37.47309,108.15238,3081,S,10,50,1.5,10,0,0,0,4,0,1,3,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,140,40,40,0,40,70,70,30,100,110,0,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,6.4,80.5,-5.6,29,y,,336,337,0,0,0,0,NA,63,46,13,2,"3,2,2,2",0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA
44,CO,ABLA,L,7,H,ABLA-L-07H,37.47358,108.15178,3095,S,5,33.2,1,10,0,0,0,11,0,0,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,240,20,20,0,20,220,220,0,220,240,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,12,12,6,33.3,79.1,-6.8,23,y,,346,347,0,0,0,0,NA,13,4,0,0,"4,4",0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA
